Language,Average Stars
Astro,"154,0"
C#,"2685,8333333333335"
C++,"37135,75"
CSS,"2298,85"
Clojure,"5421,0"
CoffeeScript,"3492,0"
Dart,"9020,0"
EJS,"1295,0"
Elm,"923,0"
Go,"862,0"
HTML,"3062,3714285714286"
Handlebars,"1386,25"
Haxe,"160,0"
Java,"1825,7272727272727"
JavaScript,"2660,6239316239316"
Jupyter Notebook,"1053,5"
Kotlin,"207,5"
Less,"14606,0"
Liquid,"115,0"
MDX,"10344,6"
Objective-C,"283,4"
Objective-C++,"851,0"
PHP,"4780,5"
PureScript,"1532,0"
Rust,"6815,666666666667"
SCSS,"662,4444444444445"
Scala,"16542,0"
Shell,"20546,0"
Solidity,"833,0"
Svelte,"1506,0"
Swift,"5209,333333333333"
Twig,"293,0"
TypeScript,"4771,195652173913"
Vue,"5216,901960784314"
