Count of Repositories,count
Python,309
JavaScript,298
TypeScript,196
Java,106
C++,92
Go,83
C#,77
HTML,58
Rust,49
Jupyter Notebook,49
Swift,43
Kotlin,33
C,33
PHP,33
Shell,33
Dart,27
Vue,26
CSS,25
Lua,18
Objective-C,16
PowerShell,12
SCSS,6
Ruby,6
Elixir,5
Svelte,4
MATLAB,4
TeX,4
Makefile,4
R,4
Scala,3
Clojure,3
GDScript,3
Vala,3
Perl,2
Batchfile,2
Common Lisp,2
Julia,2
Nunjucks,2
Haxe,2
Emacs Lisp,2
PureScript,2
MDX,1
AL,1
Jinja,1
Visual Basic .NET,1
Nix,1
Jsonnet,1
Solidity,1
D,1
Pascal,1
Outros,31
